FROM,URL,LINKSET
NCIM,doid,http://ops2.few.vu.nl/QueryExpander/mappingSet?sourceCode=NCIM&targetCode=doid
ConceptWiki,S,http://ops2.few.vu.nl/QueryExpander/mappingSet?sourceCode=ConceptWiki&targetCode=S
ConceptWiki,S,http://ops2.few.vu.nl/QueryExpander/mappingSet?sourceCode=ConceptWiki&targetCode=S
ConceptWiki,S,http://ops2.few.vu.nl/QueryExpander/mappingSet?sourceCode=ConceptWiki&targetCode=S
ConceptWiki,Wp,http://ops2.few.vu.nl/QueryExpander/mappingSet?sourceCode=ConceptWiki&targetCode=Wp
En,Em,http://ops2.few.vu.nl/QueryExpander/mappingSet?sourceCode=En&targetCode=Em
En,L,http://ops2.few.vu.nl/QueryExpander/mappingSet?sourceCode=En&targetCode=L
En,G,http://ops2.few.vu.nl/QueryExpander/mappingSet?sourceCode=En&targetCode=G
En,Hac,http://ops2.few.vu.nl/QueryExpander/mappingSet?sourceCode=En&targetCode=Hac
En,Mb,http://ops2.few.vu.nl/QueryExpander/mappingSet?sourceCode=En&targetCode=Mb
En,Pd,http://ops2.few.vu.nl/QueryExpander/mappingSet?sourceCode=En&targetCode=Pd
En,Q,http://ops2.few.vu.nl/QueryExpander/mappingSet?sourceCode=En&targetCode=Q
En,Rf,http://ops2.few.vu.nl/QueryExpander/mappingSet?sourceCode=En&targetCode=Rf
En,S,http://ops2.few.vu.nl/QueryExpander/mappingSet?sourceCode=En&targetCode=S
Hac,H,http://ops2.few.vu.nl/QueryExpander/mappingSet?sourceCode=Hac&targetCode=H
S,Chembl16TargetComponent,http://ops2.few.vu.nl/QueryExpander/mappingSet?sourceCode=S&targetCode=Chembl16TargetComponent
S,drugbankv4.target,http://ops2.few.vu.nl/QueryExpander/mappingSet?sourceCode=S&targetCode=drugbankv4.target
S,En,http://ops2.few.vu.nl/QueryExpander/mappingSet?sourceCode=S&targetCode=En
S,L,http://ops2.few.vu.nl/QueryExpander/mappingSet?sourceCode=S&targetCode=L
S,F,http://ops2.few.vu.nl/QueryExpander/mappingSet?sourceCode=S&targetCode=F
S,M,http://ops2.few.vu.nl/QueryExpander/mappingSet?sourceCode=S&targetCode=M
S,Om,http://ops2.few.vu.nl/QueryExpander/mappingSet?sourceCode=S&targetCode=Om
S,Pd,http://ops2.few.vu.nl/QueryExpander/mappingSet?sourceCode=S&targetCode=Pd
S,Q,http://ops2.few.vu.nl/QueryExpander/mappingSet?sourceCode=S&targetCode=Q
S,R,http://ops2.few.vu.nl/QueryExpander/mappingSet?sourceCode=S&targetCode=R
S,D,http://ops2.few.vu.nl/QueryExpander/mappingSet?sourceCode=S&targetCode=D
S,U,http://ops2.few.vu.nl/QueryExpander/mappingSet?sourceCode=S&targetCode=U
S,W,http://ops2.few.vu.nl/QueryExpander/mappingSet?sourceCode=S&targetCode=W
S,Z,http://ops2.few.vu.nl/QueryExpander/mappingSet?sourceCode=S&targetCode=Z
Wp,pw,http://ops2.few.vu.nl/QueryExpander/mappingSet?sourceCode=Wp&targetCode=pw
